user;tipo;plazo;activo;especie;fecha;cotiz_mep;operacion;cantidad;precio_ars;precio_usd;total_ars;total_usd
test;BONOS;CI;GD30;GD30;2023-1-13 17:00:00-03:00;340,23;Compra;1.800;107,2907;0,315347559;0;0
test;BONOS;CI;GD30;GD30D;2023-1-19 17:00:00-03:00;332,83;Venta;-1.200;121,598529;0,365347261;0;0
test;CEDEARS;48hs;GOOGL;GOGLD;2023-1-27 17:00:00-03:00;352,78;Compra;120;624,4206;1,77;0;0
test;ONS;48hs;IRCFO;IRCFO;2023-2-7 17:00:00-03:00;353,2;Compra;60;377,0277;1,067462344;0;0
test;ONS;48hs;YMCHO;YMCHO;2023-2-7 17:00:00-03:00;353,2;Compra;74;366,5316;1,037745187;0;0
test;CEDEARS;48hs;GOLD;GOLDD;2023-2-7 17:00:00-03:00;353,2;Compra;6;6728,46;19,05;0;0
test;CEDEARS;48hs;GOOGL;GOOGL;2023-2-10 17:00:00-03:00;354,15;Compra;82;605,59;1,709981646;0;0
test;ONS;48hs;YMCHO;YMCHD;2023-2-14 17:00:00-03:00;355,28;Renta;0;0;0;-414,6652;-1,16
test;ONS;48hs;YMCHO;YMCHD;2023-2-14 17:00:00-03:00;355,28;Amortizaci�n;0;0;0;-2034,0043;-5,69
test;ONS;48hs;YMCJO;YMCJD;2023-2-16 17:00:00-03:00;357,61;Compra;125;285,193975;0,7975;0;0
test;CEDEARS;48hs;BRKB;BRKB;2023-3-8 17:00:00-03:00;372,86;Compra;10;5370,193;14,40270611;0;0
test;ONS;48hs;YMCJO;YMCJD;2023-3-8 17:00:00-03:00;372,86;Compra;65;283,3736;0,76;0;0
test;CEDEARS;48hs;XOM;XOM;2023-3-15 17:00:00-03:00;383,31;Compra;8;8052,788;21,00855182;0;0
test;CEDEARS;48hs;GOLD;GOLDD;2023-3-17 17:00:00-03:00;388,84;Dividendo;0;0;0;-162,92;-0,41
test;ONS;48hs;TLC1O;TLC1D;2023-3-27 17:00:00-03:00;376,4;Compra;1.000;371,90202;0,98805;0;0
test;CEDEARS;48hs;BRKB;BRKBD;2023-3-30 17:00:00-03:00;391,82;Compra;30;5544,253;14,15;0;0
test;ONS;48hs;YMCJO;YMCJD;2023-3-31 17:00:00-03:00;397,37;Renta;0;0;0;-1589,48;-4
test;CEDEARS;48hs;AMZN;AMZND;2023-4-3 17:00:00-03:00;396,94;Compra;627;286,19374;0,721;0;0
test;CEDEARS;48hs;XOM;XOMD;2023-4-4 17:00:00-03:00;402,41;Venta;-8;9738,322;24,2;0;0
test;CEDEARS;48hs;GOLD;GOLDD;2023-4-13 17:00:00-03:00;388,14;Venta;-6;8015,091;20,65;0;0
test;CEDEARS;48hs;PFE;PFED;2023-4-21 17:00:00-03:00;437,75;Compra;15;9017,65;20,6;0;0
test;ONS;48hs;IRCFO;IRCFD;2023-4-24 17:00:00-03:00;449,02;Compra;390;471,92002;1,051;0;0
test;CEDEARS;48hs;PFE;PFED;2023-5-3 17:00:00-03:00;429,46;Venta;-15;9018,66;21;0;0
test;MERVAL;48hs;HARG;HARG;2023-5-18 17:00:00-03:00;473,5;Compra;190;420,407;0,887871172;0;0
test;MERVAL;48hs;TRAN;TRAN;2023-5-18 17:00:00-03:00;473,5;Compra;362;295,29;0,623632524;0;0
test;MERVAL;48hs;CEPU;CEPU;2023-5-18 17:00:00-03:00;473,5;Compra;266;300,29;0,634192186;0;0
test;MERVAL;48hs;YPFD;YPFD;2023-5-18 17:00:00-03:00;473,5;Compra;7;5285,11;11,16179514;0;0
test;MERVAL;48hs;AGRO;AGRO;2023-5-31 17:00:00-03:00;466,98;Compra;837;95,5;0,204505546;0;0
test;MERVAL;48hs;AGRO;AGRO;2023-5-31 17:00:00-03:00;466,98;Compra;851;94;0,201293417;0;0
test;MERVAL;48hs;CEPU;CEPU;2023-6-1 17:00:00-03:00;467,03;Venta;-266;344;0,736569385;0;0
test;MERVAL;48hs;YPFD;YPFD;2023-6-1 17:00:00-03:00;467,03;Venta;-7;5620;12,03348821;0;0
test;CEDEARS;48hs;NKE;NKED;2023-6-6 17:00:00-03:00;471,8;Compra;32;4338,36;9,27;0;0
test;CEDEARS;48hs;NKE;NKED;2023-6-8 17:00:00-03:00;473,92;Venta;-32;4824,6;10,2;0;0
test;CEDEARS;48hs;GOLD;GOLDD;2023-6-9 17:00:00-03:00;473,5;Compra;15;8309,925;17,55;0;0
test;CEDEARS;48hs;BRKB;BRKBD;2023-6-16 17:00:00-03:00;476,56;Venta;-40;7830,735;16,5;0;0
test;MERVAL;48hs;SEMI;SEMI;2023-6-21 17:00:00-03:00;478,53;Compra;880;61;0,127473722;0;0
test;MERVAL;48hs;GBAN;GBAN;2023-6-21 17:00:00-03:00;478,53;Compra;322;310;0,647817274;0;0
test;MERVAL;48hs;HARG;HARG;2023-6-21 17:00:00-03:00;478,53;Dividendo;0;0;0;-25,9;-0,05
test;MERVAL;48hs;AGRO;AGRO;2023-6-22 17:00:00-03:00;480,58;Venta;-1.688;132;0,274668109;0;0
